date;settlement_price;market_id;market_strip;instrument_slug;instrument_name;end_date_utc;scraped_at_EET
2024-04-08;733.5;6227601;Apr26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-04-30;2026-04-07 23:07:00
2024-04-08;729.75;6227602;May26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-05-31;2026-04-07 23:07:00
2024-04-08;727.25;6227603;Jun26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-06-30;2026-04-07 23:07:00
2024-04-08;726.25;6227604;Jul26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-07-31;2026-04-07 23:07:00
2024-04-08;725.25;6227605;Aug26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-08-31;2026-04-07 23:07:00
2024-04-08;723.75;6227606;Sep26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-09-30;2026-04-07 23:07:00
2024-04-08;723.25;6227607;Oct26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-10-31;2026-04-07 23:07:00
2024-04-08;721.0;6227608;Nov26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-11-30;2026-04-07 23:07:00
2024-04-08;717.75;6227609;Dec26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-12-31;2026-04-07 23:07:00
2024-04-08;716.75;6540998;Jan27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-01-31;2026-04-07 23:07:00
2024-04-08;716.0;6540999;Feb27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-02-28;2026-04-07 23:07:00
2024-04-08;715.25;6541000;Mar27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-03-31;2026-04-07 23:07:00
2024-04-08;714.75;6541001;Apr27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-04-30;2026-04-07 23:07:00
2024-04-09;736.5;6227601;Apr26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-04-30;2026-04-08 23:08:00
2024-04-09;733.0;6227602;May26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-05-31;2026-04-08 23:08:00
2024-04-09;730.75;6227603;Jun26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-06-30;2026-04-08 23:08:00
2024-04-09;729.75;6227604;Jul26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-07-31;2026-04-08 23:08:00
2024-04-09;728.75;6227605;Aug26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-08-31;2026-04-08 23:08:00
2024-04-09;727.5;6227606;Sep26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-09-30;2026-04-08 23:08:00
2024-04-09;727.25;6227607;Oct26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-10-31;2026-04-08 23:08:00
2024-04-09;725.25;6227608;Nov26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-11-30;2026-04-08 23:08:00
2024-04-09;722.25;6227609;Dec26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-12-31;2026-04-08 23:08:00
2024-04-09;721.25;6540998;Jan27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-01-31;2026-04-08 23:08:00
2024-04-09;720.5;6540999;Feb27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-02-28;2026-04-08 23:08:00
2024-04-09;719.75;6541000;Mar27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-03-31;2026-04-08 23:08:00
2024-04-09;719.25;6541001;Apr27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-04-30;2026-04-08 23:08:00
2024-04-10;733.5;6227601;Apr26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-04-30;2026-04-10 00:04:00
2024-04-10;730.0;6227602;May26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-05-31;2026-04-10 00:04:00
2024-04-10;727.75;6227603;Jun26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-06-30;2026-04-10 00:04:00
2024-04-10;726.75;6227604;Jul26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-07-31;2026-04-10 00:04:00
2024-04-10;725.75;6227605;Aug26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-08-31;2026-04-10 00:04:00
2024-04-10;724.5;6227606;Sep26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-09-30;2026-04-10 00:04:00
2024-04-10;724.25;6227607;Oct26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-10-31;2026-04-10 00:04:00
2024-04-10;722.25;6227608;Nov26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-11-30;2026-04-10 00:04:00
2024-04-10;719.25;6227609;Dec26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-12-31;2026-04-10 00:04:00
2024-04-10;718.25;6540998;Jan27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-01-31;2026-04-10 00:04:00
2024-04-10;717.5;6540999;Feb27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-02-28;2026-04-10 00:04:00
2024-04-10;716.75;6541000;Mar27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-03-31;2026-04-10 00:04:00
2024-04-10;716.25;6541001;Apr27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-04-30;2026-04-10 00:04:00
2024-04-11;739.5;6227601;Apr26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-04-30;2026-04-10 00:04:00
2024-04-11;736.0;6227602;May26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-05-31;2026-04-10 00:04:00
2024-04-11;733.5;6227603;Jun26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-06-30;2026-04-10 00:04:00
2024-04-11;732.5;6227604;Jul26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-07-31;2026-04-10 00:04:00
2024-04-11;731.5;6227605;Aug26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-08-31;2026-04-10 00:04:00
2024-04-11;730.25;6227606;Sep26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-09-30;2026-04-10 00:04:00
2024-04-11;730.0;6227607;Oct26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-10-31;2026-04-10 00:04:00
2024-04-11;728.0;6227608;Nov26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-11-30;2026-04-10 00:04:00
2024-04-11;725.25;6227609;Dec26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-12-31;2026-04-10 00:04:00
2024-04-11;724.25;6540998;Jan27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-01-31;2026-04-10 00:04:00
2024-04-11;723.5;6540999;Feb27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-02-28;2026-04-10 00:04:00
2024-04-11;722.75;6541000;Mar27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-03-31;2026-04-10 00:04:00
2024-04-11;722.25;6541001;Apr27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-04-30;2026-04-10 00:04:00
2024-04-12;749.25;6227601;Apr26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-04-30;2026-04-10 00:04:00
2024-04-12;745.5;6227602;May26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-05-31;2026-04-10 00:04:00
2024-04-12;742.75;6227603;Jun26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-06-30;2026-04-10 00:04:00
2024-04-12;741.75;6227604;Jul26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-07-31;2026-04-10 00:04:00
2024-04-12;740.75;6227605;Aug26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-08-31;2026-04-10 00:04:00
2024-04-12;739.25;6227606;Sep26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-09-30;2026-04-10 00:04:00
2024-04-12;738.75;6227607;Oct26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-10-31;2026-04-10 00:04:00
2024-04-12;736.5;6227608;Nov26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-11-30;2026-04-10 00:04:00
2024-04-12;733.5;6227609;Dec26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-12-31;2026-04-10 00:04:00
2024-04-12;732.5;6540998;Jan27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-01-31;2026-04-10 00:04:00
2024-04-12;731.75;6540999;Feb27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-02-28;2026-04-10 00:04:00
2024-04-12;731.0;6541000;Mar27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-03-31;2026-04-10 00:04:00
2024-04-12;730.5;6541001;Apr27;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2027-04-30;2026-04-10 00:04:00
2024-04-15;743.25;6227601;Apr26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-04-30;2026-04-10 00:04:00
2024-04-15;740.0;6227602;May26;low_sulphur_gasoil;Low Sulphur Gasoil Futures;2026-05-31;2026-04-10 00:04:00
